Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.2s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.2s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.1s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.2s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.3s
Preparing reprojection indices for testing
Area_5 done in 0.3s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 53173
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 53173
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Model Preparation
*****************
Done in 1.0s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.614 acc=  8% / t(ms): 1109.3 188596.4  63.8)
e002-i0433 => L=1.059 acc= 61% / t(ms):   5.8  68.1  85.2)
e002-i0440 => L=0.777 acc= 73% / t(ms):   5.9  66.0  84.7)
e002-i0447 => L=0.746 acc= 75% / t(ms):   5.7  67.6  85.3)
e002-i0454 => L=0.898 acc= 71% / t(ms):   6.0  67.5  84.4)
e002-i0461 => L=0.649 acc= 80% / t(ms):   6.1  65.6  84.5)
e002-i0468 => L=1.045 acc= 66% / t(ms):   6.1  66.0  85.1)
e002-i0475 => L=0.927 acc= 72% / t(ms):   5.9  64.4  84.2)
e002-i0482 => L=0.882 acc= 73% / t(ms):   5.7  65.1  83.2)
e002-i0489 => L=1.192 acc= 56% / t(ms):   5.7  65.5  83.1)
e002-i0496 => L=0.665 acc= 80% / t(ms):   5.6  65.5  82.3)
Validation : 0.0% (timings : 50.93 3.63)
Validation : 20.0% (timings : 47.38 23.73)
Validation : 50.0% (timings : 35.57 35.36)
Validation : 82.0% (timings : 29.57 39.54)
S3DIS mean IoU = 29.9%
e003-i0000 => L=0.959 acc= 67% / t(ms): 8279.1  38.4 144.5)
e003-i0007 => L=1.029 acc= 67% / t(ms):  20.3  57.1  80.7)
e003-i0014 => L=0.901 acc= 73% / t(ms):  12.7  62.1  81.1)
e003-i0021 => L=1.299 acc= 56% / t(ms):   9.0  63.4  83.3)
e003-i0028 => L=1.133 acc= 60% / t(ms):   7.4  66.0  84.4)
e003-i0035 => L=1.330 acc= 54% / t(ms):   6.5  66.5  84.8)
e003-i0042 => L=1.128 acc= 64% / t(ms):   6.4  64.7  83.8)
e003-i0049 => L=1.142 acc= 58% / t(ms):   6.0  65.1  82.4)
e003-i0056 => L=1.214 acc= 64% / t(ms):   5.8  66.3  83.9)
e003-i0063 => L=1.121 acc= 63% / t(ms):   5.7  65.2  83.2)
e003-i0070 => L=0.852 acc= 72% / t(ms):   5.8  63.0  83.4)
e003-i0077 => L=0.603 acc= 83% / t(ms):   5.8  66.6  84.7)
e003-i0084 => L=1.413 acc= 47% / t(ms):   5.8  66.9  85.7)
e003-i0091 => L=1.038 acc= 65% / t(ms):   6.1  66.5  86.8)
e003-i0098 => L=0.958 acc= 69% / t(ms):   5.8  65.2  85.0)
e003-i0105 => L=1.030 acc= 71% / t(ms):   5.8  63.9  84.2)
e003-i0112 => L=0.936 acc= 67% / t(ms):   5.7  66.7  84.3)
e003-i0119 => L=0.990 acc= 67% / t(ms):   6.0  65.1  84.8)
e003-i0126 => L=1.144 acc= 60% / t(ms):   5.9  64.0  85.9)
e003-i0133 => L=0.672 acc= 73% / t(ms):   5.9  64.0  86.1)
e003-i0140 => L=0.961 acc= 69% / t(ms):   5.8  66.0  85.2)
e003-i0147 => L=0.767 acc= 73% / t(ms):   5.9  65.6  85.6)
e003-i0154 => L=0.854 acc= 69% / t(ms):   6.1  64.9  84.6)
e003-i0161 => L=1.081 acc= 65% / t(ms):   6.2  66.8  85.1)
e003-i0168 => L=0.917 acc= 70% / t(ms):   5.8  67.5  83.7)
e003-i0175 => L=1.062 acc= 60% / t(ms):   5.8  66.4  84.2)
e003-i0182 => L=0.763 acc= 75% / t(ms):   6.0  63.5  85.2)
e003-i0189 => L=0.682 acc= 79% / t(ms):   5.9  62.9  84.7)
e003-i0196 => L=0.993 acc= 67% / t(ms):   5.8  62.6  84.3)
e003-i0203 => L=0.983 acc= 67% / t(ms):   5.9  65.8  85.0)
e003-i0210 => L=0.819 acc= 75% / t(ms):   5.8  67.4  86.3)
e003-i0217 => L=1.556 acc= 48% / t(ms):   5.8  66.1  85.0)
e003-i0224 => L=1.055 acc= 63% / t(ms):   5.6  67.1  85.3)
e003-i0231 => L=0.904 acc= 72% / t(ms):   5.7  67.9  85.1)
e003-i0238 => L=0.838 acc= 73% / t(ms):   5.6  66.7  84.9)
e003-i0245 => L=0.957 acc= 67% / t(ms):   5.6  64.7  83.7)
e003-i0252 => L=0.847 acc= 71% / t(ms):   5.9  64.1  83.9)
e003-i0259 => L=0.935 acc= 74% / t(ms):   5.8  63.9  84.8)
e003-i0266 => L=0.949 acc= 66% / t(ms):   5.8  63.9  85.3)
e003-i0273 => L=1.254 acc= 59% / t(ms):   5.9  64.5  84.1)
e003-i0280 => L=0.922 acc= 72% / t(ms):   5.8  65.2  83.4)
e003-i0287 => L=1.095 acc= 59% / t(ms):   5.6  66.0  84.1)
e003-i0294 => L=1.138 acc= 59% / t(ms):   5.8  64.9  83.2)
e003-i0301 => L=0.748 acc= 77% / t(ms):   5.8  64.6  84.9)
e003-i0308 => L=0.973 acc= 71% / t(ms):   5.7  64.4  84.4)
e003-i0315 => L=1.019 acc= 64% / t(ms):   5.8  64.8  82.7)
e003-i0322 => L=1.011 acc= 61% / t(ms):   6.1  65.7  82.4)
e003-i0329 => L=1.106 acc= 62% / t(ms):   6.0  65.2  83.5)
e003-i0336 => L=1.381 acc= 54% / t(ms):   5.8  65.4  83.1)
e003-i0343 => L=0.618 acc= 82% / t(ms):   5.8  65.0  84.0)
e003-i0350 => L=0.726 acc= 77% / t(ms):   5.9  63.8  84.1)
e003-i0357 => L=0.979 acc= 65% / t(ms):   6.2  64.6  84.2)
e003-i0364 => L=1.069 acc= 64% / t(ms):   6.1  63.9  85.2)
e003-i0371 => L=0.974 acc= 68% / t(ms):   6.0  64.0  85.0)
e003-i0378 => L=1.193 acc= 62% / t(ms):   5.9  64.6  83.8)
e003-i0385 => L=1.419 acc= 47% / t(ms):   5.9  67.1  84.9)
e003-i0392 => L=1.365 acc= 50% / t(ms):   5.7  66.4  85.2)
e003-i0399 => L=0.722 acc= 78% / t(ms):   5.7  64.7  84.3)
e003-i0406 => L=0.554 acc= 82% / t(ms):   5.8  65.2  84.4)
e003-i0413 => L=0.851 acc= 68% / t(ms):   5.8  67.6  83.8)
e003-i0420 => L=0.950 acc= 68% / t(ms):   5.6  65.9  83.3)
e003-i0427 => L=0.782 acc= 75% / t(ms):   6.0  67.0  85.6)
e003-i0434 => L=1.171 acc= 57% / t(ms):   6.0  63.1  84.0)
e003-i0441 => L=1.653 acc= 52% / t(ms):   5.9  63.0  83.1)
e003-i0448 => L=0.964 acc= 66% / t(ms):   5.8  64.8  83.0)
e003-i0455 => L=1.184 acc= 56% / t(ms):   5.7  64.0  82.9)
e003-i0462 => L=0.614 acc= 80% / t(ms):   5.8  64.3  86.0)
e003-i0469 => L=1.000 acc= 67% / t(ms):   5.7  62.7  84.3)
e003-i0476 => L=1.178 acc= 58% / t(ms):   5.7  62.8  85.1)
e003-i0483 => L=1.207 acc= 60% / t(ms):   6.4  64.0  85.3)
e003-i0490 => L=1.100 acc= 62% / t(ms):   6.1  63.2  84.2)
e003-i0497 => L=1.032 acc= 65% / t(ms):   5.8  62.8  83.5)
Validation : 0.0% (timings : 51.67 3.47)
