Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing potentials
Done in 0.0s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing potentials
Done in 0.0s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.8s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=10.870 acc=  6% / t(ms): 1013.7 4719.3 107.9)
e001-i0085 => L=3.555 acc= 71% / t(ms):   0.7  84.1 123.1)
e001-i0090 => L=3.524 acc= 63% / t(ms):   0.7  84.0 122.2)
e001-i0095 => L=3.787 acc= 80% / t(ms):   0.7  84.3 122.0)
e001-i0100 => L=3.567 acc= 62% / t(ms):   0.7  83.5 121.5)
e001-i0105 => L=3.826 acc= 65% / t(ms):   0.6  84.5 123.2)
e001-i0110 => L=3.344 acc= 67% / t(ms):   0.6  85.3 122.0)
e001-i0115 => L=3.879 acc= 61% / t(ms):   0.6  86.5 121.3)
e001-i0120 => L=3.554 acc= 68% / t(ms):   0.6  85.9 121.6)
e001-i0125 => L=3.861 acc= 63% / t(ms):   0.7  85.9 123.4)
e001-i0130 => L=3.744 acc= 66% / t(ms):   0.6  84.8 122.0)
e001-i0135 => L=3.245 acc= 69% / t(ms):   0.6  84.9 121.9)
e001-i0140 => L=3.334 acc= 69% / t(ms):   0.6  84.9 123.0)
e001-i0145 => L=3.570 acc= 72% / t(ms):   0.6  87.4 124.4)
e001-i0150 => L=3.187 acc= 74% / t(ms):   0.6  87.4 126.1)
e001-i0155 => L=3.035 acc= 80% / t(ms):   0.6  87.3 125.8)
e001-i0160 => L=3.554 acc= 76% / t(ms):   0.6  87.4 126.8)
e001-i0165 => L=3.660 acc= 74% / t(ms):   0.6  87.5 126.1)
e001-i0170 => L=3.348 acc= 66% / t(ms):   0.6  87.1 125.3)
e001-i0175 => L=3.608 acc= 68% / t(ms):   0.7  88.8 126.6)
e001-i0180 => L=3.322 acc= 73% / t(ms):   0.8  88.9 129.1)
e001-i0185 => L=3.548 acc= 66% / t(ms):   0.7  88.7 128.9)
e001-i0190 => L=3.473 acc= 76% / t(ms):   0.7  89.3 129.7)
e001-i0195 => L=3.971 acc= 61% / t(ms):   0.8  89.2 130.1)
e001-i0200 => L=4.936 acc= 47% / t(ms):   0.7  89.9 129.0)
e001-i0205 => L=3.191 acc= 74% / t(ms):   0.8  91.2 129.8)
e001-i0210 => L=3.757 acc= 62% / t(ms):   0.7  94.4 132.4)
e001-i0215 => L=3.877 acc= 63% / t(ms):   0.6  93.4 132.7)
e001-i0220 => L=4.018 acc= 62% / t(ms):   0.6  92.5 133.8)
e001-i0225 => L=3.935 acc= 64% / t(ms):   0.7  91.0 132.6)
e001-i0230 => L=3.464 acc= 77% / t(ms):   0.7  91.0 133.4)
e001-i0235 => L=4.228 acc= 49% / t(ms):   0.7  89.2 129.4)
e001-i0240 => L=3.220 acc= 82% / t(ms):   0.6  86.5 126.2)
e001-i0245 => L=4.097 acc= 55% / t(ms):   0.6  85.4 124.5)
e001-i0250 => L=3.565 acc= 69% / t(ms):   0.6  84.8 122.7)
e001-i0255 => L=3.927 acc= 52% / t(ms):   0.6  86.4 123.2)
e001-i0260 => L=3.701 acc= 57% / t(ms):   0.6  85.2 121.7)
e001-i0265 => L=3.334 acc= 71% / t(ms):   0.7  85.6 123.7)
e001-i0270 => L=2.823 acc= 82% / t(ms):   0.7  84.4 122.2)
e001-i0275 => L=3.656 acc= 54% / t(ms):   0.6  84.4 122.1)
e001-i0280 => L=3.584 acc= 71% / t(ms):   0.6  84.6 121.5)
e001-i0285 => L=4.369 acc= 61% / t(ms):   0.6  83.9 121.3)
e001-i0290 => L=3.717 acc= 66% / t(ms):   0.5  84.2 121.5)
e001-i0295 => L=3.237 acc= 74% / t(ms):   0.5  83.6 122.9)
e001-i0300 => L=3.888 acc= 62% / t(ms):   0.7  83.6 124.1)
e001-i0305 => L=3.678 acc= 62% / t(ms):   0.6  83.9 123.3)
e001-i0310 => L=2.994 acc= 84% / t(ms):   0.6  85.3 122.7)
e001-i0315 => L=3.341 acc= 72% / t(ms):   0.7  84.9 123.8)
e001-i0320 => L=3.188 acc= 73% / t(ms):   0.6  84.5 123.1)
e001-i0325 => L=3.880 acc= 63% / t(ms):   0.6  84.7 123.6)
e001-i0330 => L=3.316 acc= 74% / t(ms):   0.6  86.3 124.6)
e001-i0335 => L=4.005 acc= 59% / t(ms):   0.6  87.0 124.1)
e001-i0340 => L=3.392 acc= 71% / t(ms):   0.6  85.5 123.2)
e001-i0345 => L=2.974 acc= 78% / t(ms):   0.6  86.7 124.2)
e001-i0350 => L=3.326 acc= 72% / t(ms):   0.6  86.7 123.7)
e001-i0355 => L=3.876 acc= 66% / t(ms):   0.5  86.9 122.4)
e001-i0360 => L=3.311 acc= 66% / t(ms):   0.6  87.3 122.3)
e001-i0365 => L=3.498 acc= 73% / t(ms):   0.6  85.5 122.3)
e001-i0370 => L=2.949 acc= 80% / t(ms):   0.6  86.1 122.5)
e001-i0375 => L=3.435 acc= 69% / t(ms):   0.6  87.2 122.9)
e001-i0380 => L=3.682 acc= 56% / t(ms):   0.6  85.2 122.0)
e001-i0385 => L=4.199 acc= 50% / t(ms):   0.6  85.8 123.2)
e001-i0390 => L=3.228 acc= 75% / t(ms):   0.6  85.9 123.8)
e001-i0395 => L=3.170 acc= 76% / t(ms):   0.6  86.3 122.6)
e001-i0400 => L=2.872 acc= 79% / t(ms):   0.7  85.7 123.0)
e001-i0405 => L=4.340 acc= 53% / t(ms):   0.6  84.9 121.0)
e001-i0410 => L=3.789 acc= 61% / t(ms):   0.6  85.2 121.3)
e001-i0415 => L=3.569 acc= 69% / t(ms):   0.6  85.9 123.1)
e001-i0420 => L=3.025 acc= 77% / t(ms):   0.6  86.4 123.3)
e001-i0425 => L=3.174 acc= 73% / t(ms):   0.6  85.7 124.8)
e001-i0430 => L=3.232 acc= 72% / t(ms):   0.6  86.0 124.2)
e001-i0435 => L=3.162 acc= 67% / t(ms):   0.6  87.2 124.2)
e001-i0440 => L=2.800 acc= 84% / t(ms):   0.6  86.4 123.1)
e001-i0445 => L=3.112 acc= 67% / t(ms):   0.6  86.8 124.0)
e001-i0450 => L=3.452 acc= 70% / t(ms):   0.6  86.0 122.6)
e001-i0455 => L=3.552 acc= 73% / t(ms):   0.6  85.2 122.2)
e001-i0460 => L=4.166 acc= 44% / t(ms):   0.5  85.4 122.7)
e001-i0465 => L=2.752 acc= 81% / t(ms):   0.5  85.8 122.6)
