Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 55150
Check neighbors limit dictionary
[92m"0.030_0.075": 29
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 55150
Check neighbors limit dictionary
[92m"0.030_0.075": 29
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Model Preparation
*****************
Done in 1.0s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.590 acc=  6% / t(ms): 1369.6 174490.7  67.0)
e001-i0042 => L=1.306 acc= 55% / t(ms):   5.2  62.5  84.4)
e001-i0049 => L=1.206 acc= 64% / t(ms):   5.1  63.8  85.4)
e001-i0056 => L=1.184 acc= 63% / t(ms):   4.8  62.5  82.0)
e001-i0063 => L=1.581 acc= 46% / t(ms):   5.0  61.7  82.3)
e001-i0070 => L=0.940 acc= 74% / t(ms):   5.0  63.2  82.9)
e001-i0077 => L=1.161 acc= 63% / t(ms):   4.8  60.9  82.2)
e001-i0084 => L=1.145 acc= 60% / t(ms):   4.8  62.6  83.3)
e001-i0091 => L=1.370 acc= 50% / t(ms):   5.1  61.7  82.2)
e001-i0098 => L=1.335 acc= 51% / t(ms):   5.4  63.7  83.3)
e001-i0105 => L=1.062 acc= 65% / t(ms):   5.3  63.3  82.8)
e001-i0112 => L=1.313 acc= 60% / t(ms):   5.0  62.8  82.4)
e001-i0119 => L=1.494 acc= 46% / t(ms):   4.9  62.0  81.6)
e001-i0126 => L=1.347 acc= 55% / t(ms):   4.8  62.5  81.7)
e001-i0133 => L=0.965 acc= 67% / t(ms):   4.8  61.5  81.9)
e001-i0140 => L=0.957 acc= 73% / t(ms):   4.9  61.9  80.9)
e001-i0147 => L=1.374 acc= 54% / t(ms):   5.0  61.7  82.2)
e001-i0154 => L=1.429 acc= 50% / t(ms):   4.9  61.5  82.1)
e001-i0162 => L=1.256 acc= 55% / t(ms):   4.8  60.2  80.0)
e001-i0169 => L=1.752 acc= 44% / t(ms):   4.8  62.0  81.8)
e001-i0176 => L=1.051 acc= 66% / t(ms):   4.9  62.8  83.2)
e001-i0183 => L=1.322 acc= 57% / t(ms):   4.7  62.5  82.3)
e001-i0190 => L=1.303 acc= 53% / t(ms):   5.1  62.4  83.1)
e001-i0197 => L=0.896 acc= 71% / t(ms):   5.1  61.1  83.5)
e001-i0204 => L=1.094 acc= 64% / t(ms):   5.1  62.4  83.8)
e001-i0211 => L=1.160 acc= 59% / t(ms):   5.3  62.4  84.0)
e001-i0218 => L=1.224 acc= 57% / t(ms):   5.2  62.8  83.0)
e001-i0225 => L=1.358 acc= 56% / t(ms):   5.2  63.2  82.9)
e001-i0232 => L=1.146 acc= 62% / t(ms):   5.1  64.4  84.1)
e001-i0239 => L=0.998 acc= 69% / t(ms):   5.0  62.9  82.7)
e001-i0246 => L=0.859 acc= 73% / t(ms):   4.8  63.4  82.0)
e001-i0253 => L=1.150 acc= 66% / t(ms):   4.8  60.8  82.6)
e001-i0260 => L=1.282 acc= 61% / t(ms):   4.9  62.0  81.8)
e001-i0267 => L=1.025 acc= 68% / t(ms):   5.1  63.0  83.4)
e001-i0274 => L=1.145 acc= 60% / t(ms):   4.9  62.9  82.4)
e001-i0281 => L=1.617 acc= 41% / t(ms):   5.0  62.6  82.6)
e001-i0288 => L=1.338 acc= 46% / t(ms):   5.0  63.0  83.3)
e001-i0295 => L=1.193 acc= 63% / t(ms):   4.8  61.5  83.9)
e001-i0302 => L=1.092 acc= 64% / t(ms):   5.3  60.9  83.8)
e001-i0309 => L=1.142 acc= 62% / t(ms):   5.0  62.5  82.6)
e001-i0316 => L=1.057 acc= 61% / t(ms):   5.0  62.8  82.8)
e001-i0323 => L=0.824 acc= 76% / t(ms):   4.9  65.0  84.3)
e001-i0330 => L=1.067 acc= 63% / t(ms):   5.2  63.0  84.6)
e001-i0337 => L=1.003 acc= 64% / t(ms):   5.3  61.5  83.8)
e001-i0344 => L=1.085 acc= 60% / t(ms):   5.0  62.8  83.8)
e001-i0351 => L=1.216 acc= 61% / t(ms):   4.8  63.2  82.8)
e001-i0358 => L=0.964 acc= 65% / t(ms):   5.0  62.2  82.3)
e001-i0365 => L=0.795 acc= 75% / t(ms):   5.0  63.1  84.0)
e001-i0372 => L=1.187 acc= 56% / t(ms):   4.9  62.7  82.1)
e001-i0379 => L=1.053 acc= 63% / t(ms):   4.7  62.6  82.0)
e001-i0386 => L=1.303 acc= 57% / t(ms):   4.8  62.3  81.3)
e001-i0393 => L=1.485 acc= 50% / t(ms):   4.7  61.8  82.1)
e001-i0400 => L=0.972 acc= 70% / t(ms):   4.8  63.0  82.4)
e001-i0407 => L=1.022 acc= 63% / t(ms):   4.7  63.6  81.6)
e001-i0414 => L=1.243 acc= 58% / t(ms):   4.7  63.2  81.7)
e001-i0421 => L=1.267 acc= 55% / t(ms):   4.8  64.0  81.7)
e001-i0428 => L=1.000 acc= 71% / t(ms):   4.9  62.8  80.5)
e001-i0435 => L=1.146 acc= 61% / t(ms):   4.9  63.7  82.8)
e001-i0442 => L=1.048 acc= 64% / t(ms):   4.9  64.0  84.6)
e001-i0449 => L=0.934 acc= 71% / t(ms):   4.8  63.7  83.3)
e001-i0456 => L=1.064 acc= 61% / t(ms):   5.2  62.6  83.0)
e001-i0463 => L=1.187 acc= 57% / t(ms):   4.9  62.7  83.4)
e001-i0470 => L=0.953 acc= 68% / t(ms):   4.7  61.7  83.2)
e001-i0477 => L=1.116 acc= 58% / t(ms):   4.7  60.8  81.8)
e001-i0484 => L=1.034 acc= 65% / t(ms):   4.9  59.9  82.6)
e001-i0491 => L=1.156 acc= 57% / t(ms):   4.9  63.8  85.7)
e001-i0498 => L=0.965 acc= 61% / t(ms):   5.0  63.2  83.5)
Validation : 2.0% (timings : 46.02 6.29)
Validation : 26.0% (timings : 40.86 25.21)
Validation : 54.0% (timings : 35.36 33.41)
Validation : 84.0% (timings : 31.66 36.26)
S3DIS mean IoU = 30.3%
e002-i0000 => L=0.671 acc= 81% / t(ms): 8274.6  35.3 148.9)
e002-i0007 => L=1.213 acc= 57% / t(ms):   2.2  69.2  82.0)
e002-i0014 => L=1.141 acc= 64% / t(ms):   3.8  64.9  81.6)
e002-i0021 => L=1.189 acc= 58% / t(ms):   4.3  63.4  80.4)
e002-i0028 => L=1.071 acc= 70% / t(ms):   4.5  62.1  80.0)
e002-i0035 => L=1.163 acc= 62% / t(ms):   4.6  60.1  80.8)
e002-i0042 => L=1.036 acc= 63% / t(ms):   4.7  60.2  80.1)
e002-i0049 => L=0.940 acc= 67% / t(ms):   4.8  62.7  82.8)
e002-i0056 => L=0.836 acc= 71% / t(ms):   5.0  61.8  82.2)
e002-i0063 => L=0.831 acc= 71% / t(ms):   4.7  61.4  82.8)
e002-i0070 => L=0.998 acc= 59% / t(ms):   4.7  61.8  82.0)
e002-i0077 => L=0.994 acc= 67% / t(ms):   4.7  62.6  82.8)
e002-i0084 => L=1.126 acc= 61% / t(ms):   4.9  62.1  82.5)
e002-i0091 => L=0.709 acc= 78% / t(ms):   4.9  60.3  81.1)
e002-i0098 => L=1.110 acc= 57% / t(ms):   5.1  60.6  80.6)
e002-i0105 => L=0.895 acc= 74% / t(ms):   5.0  61.4  83.3)
e002-i0112 => L=1.150 acc= 63% / t(ms):   4.8  61.2  82.4)
e002-i0119 => L=1.254 acc= 53% / t(ms):   4.9  61.9  82.0)
e002-i0127 => L=1.155 acc= 59% / t(ms):   4.7  58.7  81.2)
e002-i0134 => L=1.130 acc= 63% / t(ms):   4.7  60.3  81.4)
e002-i0141 => L=0.989 acc= 63% / t(ms):   4.9  60.4  83.8)
e002-i0148 => L=1.454 acc= 50% / t(ms):   5.0  60.9  83.3)
e002-i0155 => L=1.342 acc= 55% / t(ms):   4.8  62.1  82.5)
e002-i0162 => L=1.467 acc= 51% / t(ms):   4.8  62.3  83.8)
e002-i0169 => L=0.975 acc= 66% / t(ms):   4.7  63.4  83.6)
e002-i0176 => L=1.511 acc= 47% / t(ms):   4.8  63.8  84.3)
e002-i0183 => L=1.237 acc= 57% / t(ms):   4.8  62.9  83.9)
e002-i0190 => L=1.470 acc= 52% / t(ms):   4.9  64.5  85.0)
e002-i0197 => L=1.076 acc= 65% / t(ms):   4.8  63.9  83.3)
e002-i0204 => L=0.944 acc= 68% / t(ms):   4.9  63.6  83.2)
e002-i0211 => L=1.107 acc= 61% / t(ms):   4.7  62.1  82.0)
e002-i0218 => L=1.118 acc= 64% / t(ms):   4.8  61.9  82.2)
e002-i0225 => L=1.282 acc= 52% / t(ms):   5.2  62.1  82.5)
e002-i0232 => L=1.328 acc= 54% / t(ms):   4.8  61.3  82.6)
e002-i0239 => L=1.149 acc= 60% / t(ms):   5.1  62.1  82.8)
e002-i0246 => L=1.367 acc= 54% / t(ms):   4.9  62.4  82.9)
e002-i0253 => L=0.970 acc= 67% / t(ms):   4.7  63.6  83.0)
e002-i0260 => L=0.991 acc= 66% / t(ms):   4.8  64.6  83.5)
e002-i0267 => L=0.926 acc= 71% / t(ms):   4.6  63.9  83.1)
e002-i0274 => L=1.155 acc= 60% / t(ms):   4.6  63.8  83.5)
e002-i0281 => L=1.324 acc= 52% / t(ms):   4.6  61.1  82.7)
e002-i0288 => L=0.955 acc= 70% / t(ms):   4.7  61.4  82.7)
e002-i0295 => L=1.120 acc= 61% / t(ms):   4.8  62.3  82.8)
e002-i0302 => L=0.943 acc= 72% / t(ms):   4.7  61.5  80.7)
e002-i0309 => L=0.974 acc= 68% / t(ms):   4.7  61.5  81.7)
e002-i0316 => L=1.078 acc= 64% / t(ms):   4.7  62.2  82.3)
e002-i0323 => L=1.265 acc= 55% / t(ms):   4.9  61.5  81.0)
e002-i0330 => L=1.486 acc= 50% / t(ms):   4.8  63.1  83.1)
e002-i0337 => L=1.072 acc= 63% / t(ms):   5.1  64.6  83.9)
e002-i0344 => L=1.146 acc= 66% / t(ms):   5.0  63.6  81.9)
e002-i0351 => L=0.999 acc= 67% / t(ms):   5.0  63.2  82.3)
e002-i0358 => L=0.914 acc= 70% / t(ms):   4.9  61.8  81.2)
e002-i0365 => L=1.147 acc= 61% / t(ms):   5.1  63.0  82.0)
e002-i0372 => L=1.280 acc= 57% / t(ms):   4.9  62.7  82.1)
e002-i0379 => L=1.005 acc= 67% / t(ms):   4.9  60.8  81.3)
e002-i0386 => L=1.062 acc= 67% / t(ms):   4.8  63.4  82.1)
e002-i0393 => L=1.037 acc= 67% / t(ms):   4.7  64.0  83.6)
e002-i0400 => L=1.019 acc= 67% / t(ms):   5.0  64.9  83.9)
e002-i0407 => L=1.277 acc= 57% / t(ms):   5.0  63.4  82.7)
e002-i0414 => L=0.912 acc= 71% / t(ms):   4.8  63.5  81.4)
e002-i0421 => L=1.016 acc= 63% / t(ms):   4.7  61.9  79.9)
e002-i0428 => L=0.911 acc= 69% / t(ms):   4.9  62.1  80.8)
e002-i0435 => L=0.924 acc= 72% / t(ms):   4.7  61.2  80.9)
e002-i0442 => L=0.742 acc= 76% / t(ms):   4.8  60.9  81.4)
e002-i0449 => L=0.962 acc= 68% / t(ms):   4.7  61.5  82.1)
e002-i0456 => L=1.098 acc= 60% / t(ms):   5.3  60.1  81.1)
e002-i0463 => L=1.091 acc= 61% / t(ms):   5.2  61.7  82.1)
e002-i0470 => L=1.001 acc= 66% / t(ms):   4.9  62.7  82.6)
e002-i0477 => L=1.386 acc= 55% / t(ms):   5.1  62.6  82.8)
e002-i0484 => L=0.952 acc= 66% / t(ms):   5.1  63.0  81.7)
e002-i0491 => L=1.216 acc= 58% / t(ms):   4.9  62.5  80.9)
e002-i0498 => L=1.022 acc= 66% / t(ms):   4.8  62.6  81.1)
Validation : 0.0% (timings : 48.02 4.11)
Validation : 18.0% (timings : 49.22 23.45)
Validation : 44.0% (timings : 42.04 34.21)
Validation : 70.0% (timings : 42.73 37.77)
Validation : 98.0% (timings : 35.62 38.86)
S3DIS mean IoU = 30.2%
e003-i0000 => L=1.323 acc= 57% / t(ms): 9009.0  46.1 152.1)
e003-i0007 => L=0.890 acc= 70% / t(ms):  10.4  65.2  79.8)
e003-i0014 => L=0.985 acc= 66% / t(ms):   7.6  63.8  81.8)
e003-i0021 => L=1.226 acc= 55% / t(ms):   6.4  63.3  83.2)
e003-i0028 => L=1.214 acc= 58% / t(ms):   5.6  62.4  82.7)
e003-i0035 => L=1.134 acc= 65% / t(ms):   5.6  61.4  82.9)
e003-i0042 => L=1.249 acc= 55% / t(ms):   5.3  62.4  82.5)
e003-i0049 => L=1.186 acc= 53% / t(ms):   5.0  63.5  82.8)
e003-i0056 => L=1.444 acc= 51% / t(ms):   5.1  62.9  83.3)
e003-i0063 => L=1.339 acc= 51% / t(ms):   5.1  62.5  83.1)
e003-i0070 => L=1.051 acc= 66% / t(ms):   5.1  63.6  83.9)
e003-i0077 => L=1.216 acc= 56% / t(ms):   5.0  62.9  82.0)
e003-i0084 => L=1.089 acc= 65% / t(ms):   4.9  62.6  83.0)
e003-i0091 => L=1.085 acc= 68% / t(ms):   4.8  62.7  83.0)
e003-i0098 => L=0.892 acc= 70% / t(ms):   5.1  62.8  83.7)
e003-i0105 => L=1.146 acc= 64% / t(ms):   5.3  63.2  84.6)
e003-i0112 => L=0.852 acc= 71% / t(ms):   5.8  59.8  82.4)
e003-i0119 => L=1.098 acc= 62% / t(ms):   5.2  59.5  81.1)
