Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.7s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e006-i0450 => L=3.312 acc= 63% / t(ms):   0.6  73.4 108.5)
e006-i0456 => L=2.953 acc= 72% / t(ms):   0.6  73.7 109.2)
e006-i0462 => L=3.302 acc= 67% / t(ms):   0.6  72.2 107.8)
e006-i0468 => L=2.751 acc= 79% / t(ms):   0.6  71.4 106.1)
e006-i0474 => L=2.775 acc= 82% / t(ms):   0.6  71.5 105.1)
e006-i0480 => L=2.448 acc= 89% / t(ms):   0.6  71.4 105.5)
e006-i0486 => L=3.043 acc= 74% / t(ms):   0.5  71.5 107.6)
e006-i0492 => L=2.761 acc= 83% / t(ms):   0.4  71.5 107.9)
e006-i0498 => L=3.064 acc= 70% / t(ms):   0.4  70.4 107.0)
Validation : 0.0% (timings : 56.47 10.24)
Validation : 24.0% (timings : 30.70 44.02)
Validation : 58.0% (timings : 13.01 53.94)
Validation : 98.0% (timings : 4.74 50.86)
S3DIS mean IoU = 40.9%
e007-i0000 => L=3.301 acc= 70% / t(ms): 7883.1  74.8 158.8)
e007-i0005 => L=2.417 acc= 90% / t(ms): 125.0  72.4 115.7)
e007-i0011 => L=2.972 acc= 72% / t(ms):  66.8  71.7 113.3)
e007-i0017 => L=3.102 acc= 72% / t(ms):  35.8  71.5 111.5)
e007-i0023 => L=2.924 acc= 78% / t(ms):  19.4  72.0 110.0)
e007-i0029 => L=2.738 acc= 83% / t(ms):  10.7  73.7 110.3)
e007-i0035 => L=2.904 acc= 76% / t(ms):   6.0  73.0 108.4)
e007-i0041 => L=2.728 acc= 79% / t(ms):   3.5  73.5 108.5)
e007-i0047 => L=3.044 acc= 78% / t(ms):   2.2  73.1 108.7)
e007-i0053 => L=3.032 acc= 74% / t(ms):   1.5  72.0 107.6)
e007-i0059 => L=3.587 acc= 63% / t(ms):   1.1  72.4 107.8)
e007-i0065 => L=3.091 acc= 74% / t(ms):   0.9  71.2 105.5)
e007-i0071 => L=2.496 acc= 91% / t(ms):   0.8  72.2 107.2)
e007-i0077 => L=3.375 acc= 57% / t(ms):   0.7  71.8 104.9)
e007-i0083 => L=3.248 acc= 71% / t(ms):   0.6  72.0 106.0)
e007-i0089 => L=2.984 acc= 76% / t(ms):   0.8  73.2 107.7)
e007-i0095 => L=2.935 acc= 72% / t(ms):   0.8  72.3 106.9)
e007-i0101 => L=3.035 acc= 75% / t(ms):   0.7  72.1 106.3)
e007-i0107 => L=2.909 acc= 80% / t(ms):   0.8  70.6 105.1)
e007-i0113 => L=3.110 acc= 61% / t(ms):   0.9  70.9 105.5)
e007-i0119 => L=3.112 acc= 77% / t(ms):   0.8  71.1 106.7)
e007-i0125 => L=3.411 acc= 60% / t(ms):   0.7  70.8 104.6)
e007-i0131 => L=2.889 acc= 79% / t(ms):   0.7  71.1 104.3)
e007-i0137 => L=2.786 acc= 79% / t(ms):   0.7  70.0 105.9)
e007-i0143 => L=3.046 acc= 66% / t(ms):   0.7  70.1 104.3)
e007-i0149 => L=2.885 acc= 80% / t(ms):   0.6  70.1 104.1)
e007-i0155 => L=2.642 acc= 78% / t(ms):   0.6  70.5 105.8)
e007-i0161 => L=2.934 acc= 80% / t(ms):   0.6  70.4 104.8)
e007-i0167 => L=2.588 acc= 83% / t(ms):   0.7  70.3 103.4)
e007-i0173 => L=3.110 acc= 70% / t(ms):   0.6  71.8 106.4)
e007-i0179 => L=3.030 acc= 68% / t(ms):   0.7  73.0 108.2)
e007-i0185 => L=2.945 acc= 72% / t(ms):   0.7  71.7 107.4)
e007-i0191 => L=3.080 acc= 74% / t(ms):   0.7  71.0 105.4)
e007-i0197 => L=2.801 acc= 79% / t(ms):   0.7  71.7 105.5)
e007-i0203 => L=3.498 acc= 61% / t(ms):   0.8  72.2 106.4)
e007-i0209 => L=2.994 acc= 72% / t(ms):   0.7  72.0 106.0)
e007-i0215 => L=2.541 acc= 81% / t(ms):   0.8  74.4 107.2)
e007-i0221 => L=2.998 acc= 77% / t(ms):   0.7  73.7 108.5)
e007-i0227 => L=3.184 acc= 67% / t(ms):   0.8  76.8 105.9)
e007-i0233 => L=2.595 acc= 82% / t(ms):   0.7  74.2 105.8)
e007-i0239 => L=2.605 acc= 90% / t(ms):   0.7  73.3 105.7)
e007-i0245 => L=2.665 acc= 79% / t(ms):   0.7  72.3 104.7)
e007-i0251 => L=2.907 acc= 77% / t(ms):   0.6  71.5 103.7)
e007-i0257 => L=3.038 acc= 75% / t(ms):   0.6  72.1 106.7)
e007-i0263 => L=2.882 acc= 74% / t(ms):   0.6  72.1 108.2)
e007-i0269 => L=2.557 acc= 81% / t(ms):   0.7  71.8 106.2)
e007-i0275 => L=3.037 acc= 74% / t(ms):   0.7  71.7 105.1)
e007-i0281 => L=3.592 acc= 58% / t(ms):   0.7  71.9 105.1)
e007-i0287 => L=3.036 acc= 76% / t(ms):   0.7  71.8 104.9)
e007-i0293 => L=2.709 acc= 79% / t(ms):   0.7  72.5 105.6)
e007-i0299 => L=2.897 acc= 76% / t(ms):   0.7  72.6 105.0)
e007-i0305 => L=2.580 acc= 87% / t(ms):   0.7  71.6 105.8)
e007-i0311 => L=2.869 acc= 75% / t(ms):   0.9  71.3 106.6)
e007-i0317 => L=2.889 acc= 79% / t(ms):   0.7  71.8 107.9)
e007-i0323 => L=3.019 acc= 71% / t(ms):   0.7  70.3 106.0)
e007-i0329 => L=2.864 acc= 77% / t(ms):   0.7  71.1 106.2)
e007-i0335 => L=2.890 acc= 77% / t(ms):   0.7  70.3 105.4)
e007-i0341 => L=2.921 acc= 77% / t(ms):   0.8  69.9 104.7)
e007-i0347 => L=3.039 acc= 69% / t(ms):   0.7  70.2 104.3)
e007-i0353 => L=2.677 acc= 78% / t(ms):   0.7  70.3 103.1)
e007-i0359 => L=2.880 acc= 75% / t(ms):   0.7  70.4 103.1)
e007-i0365 => L=3.106 acc= 76% / t(ms):   0.7  70.3 103.2)
e007-i0371 => L=2.883 acc= 76% / t(ms):   0.8  70.6 104.5)
e007-i0377 => L=2.938 acc= 71% / t(ms):   0.7  70.3 104.9)
e007-i0383 => L=2.853 acc= 79% / t(ms):   0.7  70.2 103.8)
e007-i0389 => L=2.614 acc= 86% / t(ms):   0.7  70.4 104.0)
e007-i0395 => L=3.006 acc= 80% / t(ms):   0.8  73.7 106.5)
e007-i0401 => L=3.105 acc= 64% / t(ms):   0.7  75.8 109.0)
e007-i0407 => L=2.696 acc= 76% / t(ms):   0.7  75.4 108.4)
e007-i0413 => L=2.907 acc= 78% / t(ms):   0.7  73.4 107.4)
e007-i0419 => L=2.792 acc= 75% / t(ms):   0.7  71.3 104.9)
e007-i0425 => L=2.718 acc= 84% / t(ms):   0.7  71.8 104.9)
e007-i0431 => L=2.758 acc= 81% / t(ms):   0.7  70.3 103.3)
e007-i0437 => L=2.869 acc= 74% / t(ms):   0.7  70.0 103.9)
e007-i0443 => L=3.021 acc= 74% / t(ms):   0.7  70.7 105.3)
e007-i0449 => L=2.850 acc= 69% / t(ms):   0.7  70.0 104.2)
e007-i0455 => L=2.823 acc= 71% / t(ms):   0.7  70.7 105.9)
e007-i0461 => L=2.648 acc= 82% / t(ms):   0.6  70.6 105.5)
e007-i0467 => L=2.866 acc= 80% / t(ms):   0.7  71.1 106.9)
e007-i0473 => L=2.738 acc= 77% / t(ms):   0.7  71.3 105.0)
e007-i0479 => L=2.816 acc= 81% / t(ms):   0.6  69.8 105.5)
e007-i0485 => L=2.734 acc= 79% / t(ms):   0.6  69.4 105.1)
e007-i0491 => L=2.670 acc= 79% / t(ms):   0.5  68.2 104.5)
e007-i0497 => L=2.761 acc= 79% / t(ms):   0.4  68.6 104.2)
Validation : 0.0% (timings : 54.00 6.07)
Validation : 22.0% (timings : 30.96 42.76)
Validation : 54.0% (timings : 14.16 53.32)
Validation : 96.0% (timings : 4.91 50.04)
S3DIS mean IoU = 37.0%
e008-i0000 => L=3.362 acc= 67% / t(ms): 7818.5  79.2 159.0)
e008-i0006 => L=2.850 acc= 79% / t(ms):  41.3  78.6 102.8)
e008-i0012 => L=3.103 acc= 70% / t(ms):  22.3  74.2 101.8)
e008-i0018 => L=2.973 acc= 76% / t(ms):  12.3  72.4 104.6)
e008-i0024 => L=3.114 acc= 73% / t(ms):   6.9  72.1 107.2)
e008-i0030 => L=2.539 acc= 83% / t(ms):   3.9  71.2 106.4)
e008-i0036 => L=2.578 acc= 85% / t(ms):   2.4  70.6 106.0)
e008-i0042 => L=2.566 acc= 84% / t(ms):   1.5  70.1 105.3)
e008-i0048 => L=2.605 acc= 85% / t(ms):   1.1  71.0 105.6)
e008-i0054 => L=2.998 acc= 74% / t(ms):   0.9  71.1 107.0)
e008-i0060 => L=3.423 acc= 61% / t(ms):   0.8  70.4 105.0)
e008-i0066 => L=3.138 acc= 71% / t(ms):   0.8  69.8 103.3)
e008-i0072 => L=2.799 acc= 80% / t(ms):   0.7  70.1 104.6)
e008-i0078 => L=2.796 acc= 80% / t(ms):   0.8  70.2 105.9)
e008-i0084 => L=3.261 acc= 65% / t(ms):   0.8  71.3 105.9)
e008-i0090 => L=2.836 acc= 79% / t(ms):   0.7  70.8 104.5)
e008-i0096 => L=3.032 acc= 74% / t(ms):   0.8  69.5 103.6)
e008-i0102 => L=3.045 acc= 77% / t(ms):   0.8  71.1 107.2)
e008-i0108 => L=2.876 acc= 75% / t(ms):   0.7  71.5 106.7)
e008-i0114 => L=2.708 acc= 81% / t(ms):   0.7  71.5 107.1)
e008-i0120 => L=3.070 acc= 75% / t(ms):   0.7  71.1 105.2)
e008-i0126 => L=3.111 acc= 64% / t(ms):   0.6  71.1 106.3)
e008-i0132 => L=3.069 acc= 76% / t(ms):   0.7  70.1 105.4)
e008-i0138 => L=3.257 acc= 70% / t(ms):   0.6  71.2 106.4)
e008-i0144 => L=2.844 acc= 78% / t(ms):   0.6  71.4 105.3)
e008-i0150 => L=3.642 acc= 58% / t(ms):   0.6  72.1 104.2)
e008-i0156 => L=2.729 acc= 82% / t(ms):   0.7  71.0 103.6)
e008-i0162 => L=2.913 acc= 72% / t(ms):   0.7  70.7 103.2)
e008-i0168 => L=2.990 acc= 73% / t(ms):   0.6  71.2 105.7)
e008-i0174 => L=2.994 acc= 76% / t(ms):   0.6  70.6 104.4)
e008-i0180 => L=2.966 acc= 71% / t(ms):   0.6  70.6 106.0)
e008-i0186 => L=2.722 acc= 78% / t(ms):   0.6  70.3 106.0)
e008-i0192 => L=3.129 acc= 75% / t(ms):   0.6  70.0 105.6)
e008-i0198 => L=3.456 acc= 70% / t(ms):   0.6  70.1 104.9)
e008-i0204 => L=3.187 acc= 69% / t(ms):   0.6  70.2 103.8)
e008-i0210 => L=3.058 acc= 70% / t(ms):   0.7  69.5 102.6)
e008-i0216 => L=3.495 acc= 61% / t(ms):   0.7  70.9 105.3)
e008-i0222 => L=2.868 acc= 78% / t(ms):   0.7  71.5 106.8)
e008-i0228 => L=2.900 acc= 80% / t(ms):   0.7  70.6 105.0)
e008-i0234 => L=3.167 acc= 65% / t(ms):   0.6  70.5 105.4)
e008-i0240 => L=2.631 acc= 84% / t(ms):   0.7  70.1 104.8)
e008-i0246 => L=3.375 acc= 60% / t(ms):   0.7  75.1 106.3)
e008-i0252 => L=2.866 acc= 80% / t(ms):   0.6  73.3 105.6)
e008-i0258 => L=2.981 acc= 76% / t(ms):   0.7  71.7 105.8)
e008-i0264 => L=2.651 acc= 84% / t(ms):   0.7  71.2 105.6)
e008-i0270 => L=2.564 acc= 85% / t(ms):   0.7  71.8 107.4)
e008-i0276 => L=3.455 acc= 63% / t(ms):   0.8  71.0 108.2)
e008-i0282 => L=2.824 acc= 83% / t(ms):   0.7  70.4 105.1)
e008-i0288 => L=3.405 acc= 67% / t(ms):   0.7  70.4 104.3)
e008-i0294 => L=3.254 acc= 68% / t(ms):   0.7  70.4 104.5)
e008-i0300 => L=2.830 acc= 75% / t(ms):   0.8  69.9 102.9)
e008-i0306 => L=2.655 acc= 80% / t(ms):   1.0  69.7 102.3)
e008-i0312 => L=2.802 acc= 77% / t(ms):   0.9  70.3 102.7)
e008-i0318 => L=2.541 acc= 85% / t(ms):   0.8  70.6 104.0)
e008-i0324 => L=2.872 acc= 76% / t(ms):   0.7  70.1 104.4)
e008-i0330 => L=2.561 acc= 84% / t(ms):   0.6  71.1 106.6)
e008-i0336 => L=2.691 acc= 83% / t(ms):   0.8  70.9 107.7)
e008-i0342 => L=2.914 acc= 78% / t(ms):   0.8  70.4 105.0)
e008-i0348 => L=2.688 acc= 82% / t(ms):   0.8  70.6 104.9)
e008-i0354 => L=2.705 acc= 86% / t(ms):   0.7  71.3 105.5)
e008-i0360 => L=2.829 acc= 79% / t(ms):   0.7  71.2 106.4)
e008-i0366 => L=2.591 acc= 82% / t(ms):   0.7  71.0 107.6)
e008-i0372 => L=3.177 acc= 67% / t(ms):   0.8  71.2 108.4)
e008-i0378 => L=2.736 acc= 73% / t(ms):   0.7  71.0 107.1)
e008-i0384 => L=2.306 acc= 88% / t(ms):   0.7  70.5 105.0)
e008-i0390 => L=2.904 acc= 78% / t(ms):   0.7  70.1 104.2)
e008-i0396 => L=3.077 acc= 78% / t(ms):   0.7  70.0 104.7)
e008-i0402 => L=3.203 acc= 72% / t(ms):   0.7  70.2 105.7)
e008-i0408 => L=2.786 acc= 80% / t(ms):   0.6  70.2 104.7)
e008-i0414 => L=2.813 acc= 83% / t(ms):   0.7  70.1 104.8)
e008-i0420 => L=3.022 acc= 71% / t(ms):   0.9  71.5 106.4)
e008-i0426 => L=3.239 acc= 72% / t(ms):   0.8  70.5 106.4)
e008-i0432 => L=2.833 acc= 80% / t(ms):   0.7  69.3 105.8)
e008-i0438 => L=2.845 acc= 75% / t(ms):   0.6  69.1 104.5)
e008-i0444 => L=3.009 acc= 76% / t(ms):   0.8  70.3 105.5)
e008-i0450 => L=2.463 acc= 86% / t(ms):   0.7  74.3 108.0)
e008-i0456 => L=3.113 acc= 73% / t(ms):   0.7  73.2 105.9)
e008-i0462 => L=2.939 acc= 74% / t(ms):   0.6  72.4 106.0)
e008-i0468 => L=3.210 acc= 71% / t(ms):   0.6  71.1 105.4)
e008-i0474 => L=2.873 acc= 73% / t(ms):   0.6  70.7 104.2)
e008-i0480 => L=2.877 acc= 81% / t(ms):   0.8  70.5 105.4)
e008-i0486 => L=2.694 acc= 84% / t(ms):   0.6  69.6 104.5)
e008-i0492 => L=2.891 acc= 76% / t(ms):   0.5  69.2 103.9)
e008-i0498 => L=2.805 acc= 77% / t(ms):   0.4  69.0 104.7)
Validation : 0.0% (timings : 57.93 8.22)
Validation : 24.0% (timings : 31.78 42.03)
Exception in thread Thread-26 (_pin_memory_loop):
Traceback (most recent call last):
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/threading.py", line 1016, in _bootstrap_inner
    self.run()
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/threading.py", line 953, in run
    self._target(*self._args, **self._kwargs)
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/site-packages/torch/utils/data/_utils/pin_memory.py", line 28, in _pin_memory_loop
    r = in_queue.get(timeout=MP_STATUS_CHECK_INTERVAL)
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/multiprocessing/queues.py", line 122, in get
    return _ForkingPickler.loads(res)
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/site-packages/torch/multiprocessing/reductions.py", line 297, in rebuild_storage_fd
    fd = df.detach()
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/multiprocessing/resource_sharer.py", line 57, in detach
    with _resource_sharer.get_connection(self._id) as conn:
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/multiprocessing/resource_sharer.py", line 86, in get_connection
    c = Client(address, authkey=process.current_process().authkey)
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/multiprocessing/connection.py", line 508, in Client
    answer_challenge(c, authkey)
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/multiprocessing/connection.py", line 752, in answer_challenge
    message = connection.recv_bytes(256)         # reject large message
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/multiprocessing/connection.py", line 216, in recv_bytes
    buf = self._recv_bytes(maxlength)
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/multiprocessing/connection.py", line 414, in _recv_bytes
    buf = self._recv(4)
  File "/home/zhenli/anaconda3/envs/cuda11.1/lib/python3.10/multiprocessing/connection.py", line 379, in _recv
    chunk = read(handle, remaining)
