Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.7s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e001-i0011 => L=3.911 acc= 65% / t(ms):   6.0  83.3 114.8)
e001-i0017 => L=4.102 acc= 62% / t(ms):   3.5  78.6 109.7)
e001-i0023 => L=3.858 acc= 66% / t(ms):   2.2  76.9 109.0)
e001-i0029 => L=3.850 acc= 59% / t(ms):   1.6  74.7 106.9)
e001-i0035 => L=3.635 acc= 73% / t(ms):   1.1  73.9 107.1)
e001-i0041 => L=3.810 acc= 63% / t(ms):   0.9  72.3 106.0)
e001-i0047 => L=3.783 acc= 63% / t(ms):   0.8  71.5 105.6)
e001-i0053 => L=4.136 acc= 60% / t(ms):   0.8  71.7 106.4)
e001-i0059 => L=4.118 acc= 56% / t(ms):   0.8  72.1 104.6)
e001-i0065 => L=3.880 acc= 62% / t(ms):   0.7  72.1 105.7)
e001-i0071 => L=3.848 acc= 63% / t(ms):   0.7  72.7 106.1)
e001-i0077 => L=3.553 acc= 64% / t(ms):   0.6  73.9 107.3)
e001-i0083 => L=4.008 acc= 53% / t(ms):   0.7  73.5 109.0)
e001-i0089 => L=3.888 acc= 66% / t(ms):   0.7  72.1 107.0)
e001-i0095 => L=4.040 acc= 61% / t(ms):   0.7  72.4 106.8)
e001-i0101 => L=4.165 acc= 59% / t(ms):   0.7  72.4 107.5)
e001-i0107 => L=3.559 acc= 68% / t(ms):   0.7  72.5 106.5)
e001-i0113 => L=3.508 acc= 67% / t(ms):   0.7  72.5 107.1)
e001-i0119 => L=3.800 acc= 70% / t(ms):   0.7  73.1 106.9)
e001-i0125 => L=4.040 acc= 53% / t(ms):   0.7  72.2 106.6)
e001-i0131 => L=4.063 acc= 69% / t(ms):   0.6  71.8 106.0)
e001-i0137 => L=4.021 acc= 55% / t(ms):   0.6  73.0 106.9)
e001-i0143 => L=3.981 acc= 54% / t(ms):   0.7  72.1 106.0)
e001-i0149 => L=3.697 acc= 68% / t(ms):   0.7  72.1 107.5)
e001-i0155 => L=3.882 acc= 57% / t(ms):   0.7  72.5 108.1)
e001-i0161 => L=3.765 acc= 59% / t(ms):   0.6  71.6 107.2)
e001-i0167 => L=3.856 acc= 61% / t(ms):   0.7  72.4 106.8)
e001-i0173 => L=3.853 acc= 55% / t(ms):   0.9  72.7 106.7)
e001-i0179 => L=3.511 acc= 68% / t(ms):   0.7  72.9 108.7)
e001-i0185 => L=4.012 acc= 59% / t(ms):   0.7  72.1 107.6)
e001-i0191 => L=3.862 acc= 61% / t(ms):   0.6  72.0 106.9)
e001-i0197 => L=3.623 acc= 62% / t(ms):   0.7  72.8 106.9)
e001-i0203 => L=3.605 acc= 62% / t(ms):   0.7  71.6 106.8)
e001-i0209 => L=3.857 acc= 63% / t(ms):   0.7  72.2 106.7)
e001-i0215 => L=3.610 acc= 68% / t(ms):   0.7  72.0 107.9)
e001-i0221 => L=4.009 acc= 57% / t(ms):   0.6  72.5 106.6)
e001-i0227 => L=3.394 acc= 69% / t(ms):   0.6  72.3 106.2)
e001-i0233 => L=3.869 acc= 69% / t(ms):   0.6  71.5 104.2)
e001-i0239 => L=3.760 acc= 62% / t(ms):   0.6  72.0 105.3)
e001-i0245 => L=3.854 acc= 63% / t(ms):   0.7  72.8 105.8)
e001-i0251 => L=3.937 acc= 56% / t(ms):   0.6  71.7 105.4)
e001-i0257 => L=3.439 acc= 70% / t(ms):   0.6  71.9 106.4)
